Volts,Thr%,Ohms,Millis
0.00,0,0,21
0.00,0,0,271
0.00,0,0,521
0.00,0,0,771
0.00,0,0,1021
0.00,0,0,1271
0.00,0,0,1521
0.00,0,0,1771
0.00,0,0,2021
0.00,0,0,2271
0.00,0,0,2521
0.00,0,0,2771
0.00,0,0,3021
0.00,0,0,3271
0.00,0,0,3521
0.00,0,0,3771
0.00,0,0,4021
0.00,0,0,4271
0.00,0,0,4521
0.00,0,0,4771
0.00,0,0,5021
0.00,0,0,5271
0.00,0,0,5521
0.00,0,0,5771
0.00,0,0,6021
0.00,0,0,6272
0.00,0,0,6522
0.00,0,0,6772
0.00,0,0,7022
0.00,0,0,7272
0.00,50,50505,7335
0.00,50,50505,7585
0.00,50,50505,7835
0.00,50,50505,8085
0.00,50,50505,8334
0.00,50,50505,8585
0.00,50,50505,8835
0.00,50,50505,9084
0.00,50,50505,9335
0.00,50,50505,9585
0.00,50,50505,9835
0.00,50,50505,10085
0.00,50,50505,10335
0.00,50,50505,10585
0.00,50,50505,10835
0.00,50,50505,11085
0.00,50,50505,11335
0.00,50,50505,11585
0.00,50,50505,11835
0.00,50,50505,12085
0.00,50,50505,12335
0.00,50,50505,12585
0.00,49,49495,12801
0.00,48,48485,12821
0.00,47,47475,12841
0.00,46,46465,12861
0.00,45,45455,12881
0.00,44,44444,12901
0.00,43,43434,12921
0.00,42,42424,12941
0.00,41,41414,12961
0.00,40,40404,12981
0.00,39,39394,13001
0.00,38,38384,13021
0.00,37,37374,13041
0.00,36,36364,13061
0.00,35,35354,13081
0.00,34,34343,13101
0.00,33,33333,13121
0.00,32,32323,13142
0.00,31,31313,13161
0.00,30,30303,13181
0.00,29,29293,13201
0.00,28,28283,13221
0.00,27,27273,13241
0.00,26,26263,13261
0.00,25,25253,13281
0.00,24,24242,13301
0.00,23,23232,13322
0.00,22,22222,13342
0.00,21,21212,13362
0.00,20,20202,13382
0.00,19,19192,13402
0.00,18,18182,13422
0.00,17,17172,13442
0.00,16,16162,13462
0.00,15,15152,13483
0.00,14,14141,13502
0.00,13,13131,13522
0.00,12,12121,13542
0.00,11,11111,13562
0.00,10,10101,13582
0.00,9,9091,13602
0.00,8,8081,13622
0.00,7,7071,13642
0.00,6,6061,13662
0.00,5,5051,13682
0.00,4,4040,13702
0.00,3,3030,13722
0.00,2,2020,13742
0.00,1,1010,13761
0.00,0,0,13782
0.00,0,0,14031
0.00,0,0,14282
0.00,0,0,14532
0.00,0,0,14782
0.00,0,0,15032
0.00,0,0,15282
0.00,0,0,15532
0.00,0,0,15782
0.00,0,0,16032
0.00,0,0,16282
0.00,0,0,16532
0.00,0,0,16782
0.00,0,0,17032
0.00,0,0,17282
0.00,0,0,17532
0.00,0,0,17782
0.00,0,0,18032
0.00,0,0,18282
0.00,0,0,18532
0.00,0,0,18781
0.00,0,0,19031
0.00,0,0,19282
0.00,0,0,19532
0.00,0,0,19782
0.00,0,0,20032
0.00,0,0,20282
0.00,0,0,20532
0.00,0,0,20782
0.00,0,0,21032
0.00,0,0,21282
0.00,0,0,21532
0.00,0,0,21782
0.00,0,0,22032
0.00,0,0,22282
0.00,0,0,22532
0.00,0,0,22782
0.00,0,0,23032
0.00,0,0,23281
0.00,0,0,23532
0.00,0,0,23782
0.00,0,0,24032
0.00,0,0,24282
0.00,0,0,24532
0.00,0,0,24782
0.00,0,0,25032
0.00,0,0,25282
0.00,0,0,25532
0.00,99,100000,25597
0.00,99,100000,25847
0.00,99,100000,26097
0.00,99,100000,26347
0.00,99,100000,26597
0.00,99,100000,26847
0.00,0,0,27000
0.00,0,0,27250
0.00,0,0,27500
0.00,0,0,27750
0.00,0,0,28000
0.00,0,0,28250
0.00,0,0,28500
0.00,0,0,28750
0.00,0,0,29000
0.00,0,0,29250
0.00,0,0,29500
0.00,0,0,29750
0.00,0,0,30000
0.00,0,0,30251
0.00,0,0,30501
0.00,0,0,30751
0.00,0,0,31001
0.00,0,0,31251
0.00,0,0,31501
0.00,0,0,31751
0.00,0,0,32001
0.00,0,0,32251
0.00,0,0,32501
0.00,0,0,32750
0.00,0,0,33001
0.00,0,0,33251
0.00,0,0,33501
0.00,0,0,33751
0.00,0,0,34001
0.00,0,0,34251
0.00,0,0,34501
0.00,0,0,34751
0.00,0,0,35001
0.00,0,0,35251
0.00,0,0,35501
0.00,0,0,35751
0.00,0,0,36001
0.00,0,0,36251
0.00,0,0,36501
0.00,0,0,36751
0.00,0,0,37001
0.00,0,0,37251
0.00,0,0,37501
0.00,0,0,37751
0.00,0,0,38001
0.00,0,0,38251
0.00,0,0,38501
0.00,0,0,38751
0.00,0,0,39001
0.00,0,0,39251
0.00,0,0,39501
0.00,0,0,39751
0.00,0,0,40001
0.00,0,0,40251
0.00,0,0,40501
0.00,0,0,40750
0.00,0,0,41000
0.00,0,0,41251
0.00,0,0,41501
0.00,0,0,41751
0.00,0,0,42001
0.00,0,0,42251
0.00,0,0,42501
0.00,0,0,42752
0.00,0,0,43002
0.00,0,0,43252
0.00,0,0,43502
0.00,0,0,43752
0.00,0,0,44001
0.00,0,0,44251
0.00,0,0,44502
0.00,0,0,44752
0.00,0,0,45002
0.00,0,0,45252
0.00,0,0,45502
0.00,0,0,45752
0.00,0,0,46002
0.00,0,0,46252
0.00,0,0,46502
0.00,0,0,46752
0.00,0,0,47002
0.00,0,0,47252
0.00,0,0,47502
0.00,0,0,47752
0.00,0,0,48002
0.00,0,0,48252
0.00,0,0,48501
0.00,0,0,48752
0.00,0,0,49002
0.00,0,0,49252
0.00,0,0,49502
0.00,0,0,49752
0.00,0,0,50002
0.00,0,0,50252
0.00,0,0,50502
0.00,0,0,50752
0.00,0,0,51002
0.00,0,0,51252
0.00,0,0,51502
0.00,0,0,51752
0.00,0,0,52002
0.00,0,0,52252
0.00,0,0,52502
0.00,0,0,52752
0.00,0,0,53001
0.00,0,0,53252
0.00,0,0,53502
0.00,0,0,53752
0.00,0,0,54002
0.00,0,0,54252
0.00,0,0,54502
0.00,0,0,54752
0.00,0,0,55002
0.00,0,0,55252
0.00,0,0,55502
0.00,0,0,55752
0.00,0,0,56002
0.00,0,0,56252
0.00,0,0,56502
0.00,0,0,56752
0.00,0,0,57003
0.00,0,0,57253
0.00,0,0,57503
0.00,0,0,57753
0.00,0,0,58003
0.00,0,0,58253
0.00,0,0,58503
0.00,0,0,58753
0.00,0,0,59003
0.00,0,0,59253
0.00,0,0,59503
0.00,0,0,59753
0.00,0,0,60003
0.00,0,0,60253
0.00,0,0,60503
0.00,0,0,60753
0.00,0,0,61003
0.00,0,0,61252
0.00,0,0,61503
0.00,0,0,61753
0.00,0,0,62003
0.00,0,0,62253
0.00,0,0,62503
0.00,0,0,62753
0.00,0,0,63003
0.00,0,0,63253
0.00,0,0,63503
0.00,0,0,63753
0.00,0,0,64003
0.00,0,0,64253
0.00,0,0,64503
0.00,0,0,64753
0.00,0,0,65003
0.00,0,0,65253
0.00,0,0,65503
0.00,0,0,65753
0.00,0,0,66003
0.00,0,0,66253
0.00,0,0,66503
0.00,0,0,66753
0.00,0,0,67003
0.00,0,0,67253
0.00,0,0,67392
0.00,0,0,67642
0.00,0,0,67892
0.00,0,0,68142
0.00,0,0,68392
0.00,0,0,68642
0.00,0,0,68892
0.00,0,0,69142
0.00,0,0,69392
0.00,0,0,69642
0.00,0,0,69891
0.00,0,0,70141
0.00,0,0,70392
