Volts,Thr%,Ohms,Millis
0.00,0,0,21
0.00,0,0,271
0.00,0,0,521
0.00,0,0,771
0.00,0,0,1021
0.00,0,0,1271
0.00,0,0,1521
0.00,0,0,1771
0.00,0,0,2021
0.00,0,0,2271
0.00,0,0,2521
0.00,0,0,2770
0.00,0,0,3021
0.00,0,0,3271
0.00,0,0,3521
0.00,0,0,3770
0.00,0,0,4021
0.00,0,0,4271
0.00,0,0,4521
0.00,0,0,4771
0.00,0,0,5021
0.00,0,0,5271
0.00,0,0,5521
0.00,0,0,5771
0.00,0,0,6021
0.00,0,0,6272
0.00,0,0,6522
0.00,0,0,6771
0.00,0,0,7022
0.00,0,0,7272
0.00,0,0,7522
0.00,0,0,7772
0.00,0,0,8022
0.00,0,0,8272
0.00,0,0,8522
0.00,0,0,8772
0.00,0,0,9022
0.00,0,0,9272
0.00,0,0,9522
0.00,0,0,9772
0.00,0,0,9878
0.00,0,0,10128
0.00,0,0,10378
0.00,0,0,10628
0.00,0,0,10878
0.00,0,0,11128
2.23,50,50505,11144
2.36,50,50505,11394
2.37,50,50505,11644
2.36,50,50505,11894
2.37,50,50505,12144
2.36,50,50505,12394
2.37,50,50505,12644
2.37,50,50505,12894
2.37,50,50505,13144
2.37,50,50505,13394
1.20,25,25253,13412
1.22,26,26263,13533
1.27,27,27273,13600
1.32,28,28283,13667
1.35,29,29293,13734
1.41,30,30303,13801
1.45,31,31313,13868
1.50,32,32323,13935
1.55,33,33333,14002
1.60,34,34343,14069
1.65,35,35354,14136
1.69,36,36364,14203
1.74,37,37374,14270
1.79,38,38384,14337
1.84,39,39394,14404
1.89,40,40404,14471
1.93,41,41414,14538
1.99,42,42424,14605
2.04,43,43434,14672
2.07,44,44444,14739
2.13,45,45455,14806
2.17,46,46465,14873
2.22,47,47475,14940
2.27,48,48485,15007
2.31,49,49495,15074
2.36,50,50505,15141
2.41,51,51515,15208
2.46,52,52525,15275
2.51,53,53535,15342
2.55,54,54545,15409
2.60,55,55556,15476
2.64,56,56566,15543
2.70,57,57576,15610
2.74,58,58586,15677
2.79,59,59596,15744
2.85,60,60606,15811
2.89,61,61616,15878
2.93,62,62626,15945
3.00,63,63636,16012
3.04,64,64646,16079
3.09,65,65657,16146
3.13,66,66667,16214
3.19,67,67677,16280
3.24,68,68687,16347
3.28,69,69697,16414
3.33,70,70707,16481
3.38,71,71717,16548
3.42,72,72727,16615
3.47,73,73737,16683
3.52,74,74747,16749
3.56,75,75758,16816
3.62,76,76768,16883
3.66,77,77778,16950
3.70,78,78788,17017
3.75,79,79798,17084
3.81,80,80808,17152
3.85,81,81818,17218
3.90,82,82828,17285
3.94,83,83838,17352
4.00,84,84848,17419
4.05,85,85859,17486
4.09,86,86869,17553
4.14,87,87879,17620
4.18,88,88889,17687
4.23,89,89899,17754
4.28,90,90909,17821
4.32,91,91919,17888
4.37,92,92929,17955
4.43,93,93939,18022
4.47,94,94949,18089
4.54,95,95960,18156
4.56,96,96970,18223
4.62,97,97980,18290
4.65,98,98990,18357
4.71,99,100000,18424
4.71,99,100000,18429
4.71,99,100000,18679
4.66,98,98990,18738
4.60,97,97980,18778
4.56,96,96970,18818
4.49,95,95960,18859
4.48,94,94949,18898
4.42,93,93939,18938
4.37,92,92929,18978
4.33,91,91919,19018
4.30,90,90909,19058
4.24,89,89899,19098
4.19,88,88889,19138
4.14,87,87879,19178
4.09,86,86869,19218
4.02,85,85859,19258
3.99,84,84848,19298
3.95,83,83838,19338
3.91,82,82828,19378
3.85,81,81818,19418
3.80,80,80808,19458
3.75,79,79798,19499
3.70,78,78788,19538
3.65,77,77778,19578
3.60,76,76768,19618
3.56,75,75758,19658
3.53,74,74747,19698
3.47,73,73737,19738
3.41,72,72727,19778
3.38,71,71717,19818
3.33,70,70707,19858
3.27,69,69697,19898
3.24,68,68687,19938
3.18,67,67677,19978
3.13,66,66667,20018
3.08,65,65657,20058
3.04,64,64646,20098
2.99,63,63636,20139
2.94,62,62626,20178
2.90,61,61616,20218
2.84,60,60606,20258
2.80,59,59596,20298
2.76,58,58586,20338
2.70,57,57576,20378
2.65,56,56566,20418
2.61,55,55556,20458
2.55,54,54545,20498
2.51,53,53535,20538
2.47,52,52525,20578
2.42,51,51515,20618
2.37,50,50505,20658
2.37,50,50505,20908
0.00,0,0,21121
0.00,0,0,21371
0.00,0,0,21621
0.00,0,0,21871
0.00,0,0,22121
0.00,0,0,22371
0.00,0,0,22621
0.00,0,0,22871
0.00,0,0,23121
0.00,0,0,23371
0.00,0,0,23621
0.00,0,0,23871
0.00,0,0,24121
0.00,0,0,24371
0.00,0,0,24621
0.00,0,0,24870
0.00,0,0,25121
0.00,0,0,25371
0.00,0,0,25621
0.00,0,0,25838
0.00,0,0,26088
0.00,0,0,26338
0.00,0,0,26588
0.00,0,0,26838
0.00,0,0,27088
0.00,0,0,27338
0.00,0,0,27587
0.00,0,0,27838
0.00,0,0,28088
0.00,0,0,28338
0.00,0,0,28588
0.00,0,0,28838
0.00,0,0,29088
0.00,0,0,29338
0.00,0,0,29588
0.00,0,0,29838
0.00,0,0,30088
2.26,50,50505,30104
2.37,50,50505,30354
2.36,50,50505,30604
2.37,50,50505,30854
2.37,50,50505,31104
2.36,50,50505,31354
2.37,50,50505,31604
2.36,50,50505,31854
2.36,50,50505,32104
2.37,50,50505,32354
1.20,25,25253,32370
1.22,26,26263,32500
1.27,27,27273,32567
1.32,28,28283,32634
1.38,29,29293,32701
1.40,30,30303,32768
1.46,31,31313,32835
1.50,32,32323,32902
1.56,33,33333,32969
1.60,34,34343,33036
1.65,35,35354,33103
1.70,36,36364,33170
1.74,37,37374,33238
1.79,38,38384,33304
1.84,39,39394,33371
1.89,40,40404,33438
1.94,41,41414,33505
1.98,42,42424,33572
2.02,43,43434,33639
2.07,44,44444,33707
2.13,45,45455,33773
2.17,46,46465,33840
2.23,47,47475,33907
2.28,48,48485,33974
2.32,49,49495,34041
2.37,50,50505,34108
2.42,51,51515,34176
2.47,52,52525,34242
2.51,53,53535,34309
2.55,54,54545,34376
2.61,55,55556,34443
2.66,56,56566,34510
2.70,57,57576,34577
2.76,58,58586,34644
2.80,59,59596,34711
2.84,60,60606,34778
2.89,61,61616,34845
2.93,62,62626,34912
2.99,63,63636,34979
3.03,64,64646,35046
3.09,65,65657,35113
3.14,66,66667,35180
3.18,67,67677,35247
3.22,68,68687,35314
3.29,69,69697,35381
3.33,70,70707,35448
3.36,71,71717,35515
3.42,72,72727,35582
3.45,73,73737,35649
3.52,74,74747,35716
3.56,75,75758,35783
3.62,76,76768,35850
3.65,77,77778,35917
3.71,78,78788,35984
3.76,79,79798,36051
3.81,80,80808,36118
3.84,81,81818,36185
3.91,82,82828,36252
3.94,83,83838,36320
3.99,84,84848,36387
4.05,85,85859,36454
4.09,86,86869,36521
4.14,87,87879,36588
4.17,88,88889,36655
4.23,89,89899,36722
4.28,90,90909,36789
4.33,91,91919,36856
4.36,92,92929,36923
4.42,93,93939,36990
4.47,94,94949,37057
4.53,95,95960,37124
4.58,96,96970,37191
4.60,97,97980,37258
4.65,98,98990,37325
4.70,99,100000,37392
4.71,99,100000,37397
4.71,99,100000,37647
4.67,98,98990,37704
4.60,97,97980,37744
4.57,96,96970,37784
4.52,95,95960,37824
4.47,94,94949,37864
4.40,93,93939,37904
4.37,92,92929,37944
4.32,91,91919,37984
4.27,90,90909,38024
4.22,89,89899,38064
4.19,88,88889,38104
4.14,87,87879,38144
4.09,86,86869,38184
4.04,85,85859,38224
3.99,84,84848,38264
3.96,83,83838,38304
3.90,82,82828,38344
3.85,81,81818,38384
3.80,80,80808,38424
3.76,79,79798,38464
3.71,78,78788,38504
3.65,77,77778,38544
3.62,76,76768,38584
3.57,75,75758,38624
3.52,74,74747,38664
3.49,73,73737,38704
3.41,72,72727,38744
3.38,71,71717,38784
3.33,70,70707,38824
3.28,69,69697,38864
3.23,68,68687,38904
3.20,67,67677,38944
3.14,66,66667,38984
3.09,65,65657,39024
3.04,64,64646,39064
3.00,63,63636,39104
2.94,62,62626,39144
2.89,61,61616,39184
2.84,60,60606,39224
2.80,59,59596,39264
2.75,58,58586,39304
2.71,57,57576,39344
2.65,56,56566,39384
2.61,55,55556,39424
2.57,54,54545,39464
2.51,53,53535,39504
2.47,52,52525,39544
2.42,51,51515,39584
2.37,50,50505,39624
2.37,50,50505,39874
0.00,0,0,40102
0.00,0,0,40352
0.00,0,0,40602
0.00,0,0,40852
0.00,0,0,41102
0.00,0,0,41352
0.00,0,0,41602
0.00,0,0,41659
0.00,0,0,41909
0.00,0,0,42159
