Volts,Thr%,Ohms,Millis
0.00,0,0,21
0.00,0,0,271
0.00,0,0,521
0.00,0,0,771
0.00,0,0,1021
0.00,0,0,1271
0.00,0,0,1521
0.00,0,0,1771
0.00,0,0,2021
0.00,0,0,2271
0.00,0,0,2521
0.00,0,0,2771
0.00,0,0,3021
0.00,0,0,3271
0.00,0,0,3521
0.00,0,0,3771
0.00,0,0,4021
0.00,0,0,4271
0.00,0,0,4521
0.00,0,0,4771
0.00,0,0,5021
0.00,0,0,5271
0.00,0,0,5521
0.00,50,50505,5696
0.00,50,50505,5946
0.00,50,50505,6196
0.00,50,50505,6446
0.00,50,50505,6696
0.00,50,50505,6946
0.00,50,50505,7196
0.00,50,50505,7446
0.00,50,50505,7696
0.00,50,50505,7946
0.00,50,50505,8196
0.00,50,50505,8446
0.00,50,50505,8696
0.00,50,50505,8946
0.00,50,50505,9196
0.00,50,50505,9446
0.00,50,50505,9696
0.00,50,50505,9946
0.00,50,50505,10196
0.00,50,50505,10446
0.00,50,50505,10696
0.00,50,50505,10946
0.00,50,50505,11196
0.00,50,50505,11446
0.00,50,50505,11696
0.00,50,50505,11947
0.00,50,50505,12197
0.00,50,50505,12447
