Volts,Thr%,Ohms,Millis
0.00,0,0,21
0.00,0,0,271
0.00,0,0,521
0.00,0,0,771
0.00,0,0,1021
0.00,0,0,1271
0.00,0,0,1521
0.00,0,0,1771
0.00,0,0,2021
0.00,0,0,2271
0.00,0,0,2521
0.00,0,0,2771
0.00,0,0,3021
0.00,0,0,3271
0.00,0,0,3521
0.00,0,0,3771
0.00,0,0,4021
0.00,0,0,4271
0.00,0,0,4521
0.00,0,0,4771
0.00,0,0,5021
0.00,0,0,5271
0.00,0,0,5521
0.00,0,0,5771
0.00,0,0,6021
0.00,0,0,6272
0.00,0,0,6522
0.00,0,0,6772
0.00,0,0,7022
0.00,0,0,7272
0.00,0,0,7522
0.00,0,0,7772
0.00,0,0,8022
0.00,0,0,8272
0.00,0,0,8522
0.00,0,0,8771
0.00,0,0,9022
0.00,0,0,9272
0.00,0,0,9522
0.00,0,0,9772
0.00,0,0,10022
0.00,0,0,10272
0.00,0,0,10521
0.00,0,0,10772
0.00,0,0,11022
0.00,0,0,11272
0.00,0,0,11522
0.00,0,0,11772
0.00,0,0,12022
0.00,0,0,12272
0.00,0,0,12522
0.00,0,0,12772
0.00,0,0,13022
0.00,0,0,13272
0.00,0,0,13522
0.00,0,0,13772
0.00,0,0,14022
0.00,0,0,14272
0.00,0,0,14522
0.00,0,0,14772
0.00,0,0,15022
0.00,0,0,15271
0.00,0,0,15522
0.00,0,0,15772
0.00,0,0,16022
0.00,0,0,16272
0.00,0,0,16522
0.00,0,0,16772
0.00,0,0,17022
0.00,0,0,17272
0.00,0,0,17522
0.00,0,0,17772
0.00,0,0,18022
0.00,0,0,18272
0.00,0,0,18522
0.00,0,0,18772
0.00,0,0,19022
0.00,0,0,19272
0.00,0,0,19522
0.00,0,0,19772
0.00,0,0,20022
0.00,0,0,20272
0.00,0,0,20523
0.00,0,0,20773
0.00,0,0,21023
0.00,0,0,21273
0.00,0,0,21523
0.00,0,0,21773
0.00,0,0,22023
0.00,0,0,22273
0.00,0,0,22523
0.00,0,0,22773
0.00,0,0,23023
0.00,0,0,23273
0.00,0,0,23523
0.00,0,0,23773
0.00,0,0,24023
0.00,0,0,24273
0.00,0,0,24523
0.00,0,0,24773
0.00,0,0,25023
0.00,0,0,25273
0.00,0,0,25523
0.00,0,0,25773
0.00,0,0,26023
0.00,0,0,26273
0.00,0,0,26523
0.00,0,0,26773
0.00,0,0,27023
0.00,0,0,27273
0.00,0,0,27523
0.00,0,0,27773
0.00,0,0,28023
0.00,0,0,28273
0.00,0,0,28523
0.00,0,0,28773
0.00,0,0,29023
0.00,0,0,29273
0.00,0,0,29523
0.00,0,0,29773
0.00,0,0,30023
0.00,0,0,30273
0.00,0,0,30523
0.00,0,0,30773
0.00,0,0,31023
0.00,0,0,31273
0.00,0,0,31523
0.00,0,0,31773
0.00,0,0,32023
0.00,0,0,32273
0.00,0,0,32523
0.00,0,0,32773
0.00,0,0,33024
0.00,0,0,33274
0.00,0,0,33524
0.00,0,0,33773
0.00,0,0,34023
0.00,0,0,34274
0.00,0,0,34524
0.00,0,0,34774
0.00,0,0,35024
0.00,0,0,35274
0.00,0,0,35524
0.00,0,0,35774
0.00,0,0,36024
0.00,0,0,36274
0.00,0,0,36524
0.00,0,0,36774
0.00,0,0,37024
0.00,0,0,37274
0.00,0,0,37524
0.00,0,0,37774
0.00,0,0,38024
0.00,0,0,38274
0.00,0,0,38524
0.00,0,0,38774
0.00,0,0,39024
0.00,0,0,39274
0.00,0,0,39524
0.00,0,0,39774
0.00,0,0,40024
0.00,0,0,40274
0.00,0,0,40523
0.00,0,0,40774
0.00,0,0,41024
0.00,0,0,41274
0.00,0,0,41524
0.00,0,0,41774
0.00,0,0,42024
0.00,0,0,42274
0.00,0,0,42524
0.00,0,0,42774
0.00,0,0,43024
0.00,0,0,43274
0.00,0,0,43524
0.00,0,0,43774
0.00,0,0,44024
0.00,0,0,44274
0.00,0,0,44523
0.00,0,0,44774
0.00,0,0,45024
0.00,0,0,45274
0.00,0,0,45524
0.00,0,0,45774
0.00,0,0,46024
0.00,0,0,46274
0.00,0,0,46524
