Volts,Thr%,Ohms,Millis
0.00,0,0,21
0.00,0,0,271
0.00,0,0,521
0.00,0,0,771
0.00,0,0,1021
0.00,50,50505,1238
0.00,50,50505,1488
0.00,50,50505,1738
0.00,50,50505,1988
0.00,50,50505,2238
0.00,50,50505,2488
0.00,50,50505,2738
0.00,50,50505,2988
0.00,25,25253,3072
0.00,25,25253,3322
0.00,25,25253,3572
0.00,25,25253,3821
0.00,25,25253,4072
0.00,25,25253,4322
0.00,25,25253,4572
0.00,25,25253,4822
0.00,25,25253,5072
0.00,25,25253,5322
0.00,25,25253,5572
0.00,25,25253,5822
0.00,25,25253,6072
0.00,0,0,6135
0.00,0,0,6386
0.00,0,0,6636
0.00,0,0,6886
0.00,0,0,7136
0.00,0,0,7386
0.00,0,0,7636
0.00,0,0,7886
0.00,0,0,8136
0.00,0,0,8386
0.00,0,0,8635
0.00,99,100000,8702
0.00,99,100000,8952
0.00,99,100000,9202
0.00,99,100000,9452
0.00,99,100000,9702
0.00,99,100000,9951
0.00,99,100000,10202
0.00,99,100000,10452
0.00,99,100000,10702
0.00,0,0,10880
0.00,0,0,11130
0.00,0,0,11380
0.00,0,0,11630
0.00,0,0,11880
0.00,0,0,12130
0.00,0,0,12379
0.00,0,0,12630
