Volts,Thr%,Ohms,Millis
0.00,0,0,21
0.00,0,0,271
0.00,0,0,521
0.00,0,0,771
0.00,0,0,1021
0.00,0,0,1271
0.00,0,0,1521
0.00,0,0,1771
0.00,0,0,2021
0.00,0,0,2271
0.00,0,0,2521
0.00,0,0,2771
0.00,0,0,3021
0.00,0,0,3271
0.00,0,0,3521
0.00,0,0,3771
0.00,0,0,4021
0.00,0,0,4271
0.00,0,0,4521
0.00,0,0,4771
0.00,0,0,5021
0.00,0,0,5271
0.00,0,0,5521
0.00,0,0,5771
0.00,0,0,6021
0.00,0,0,6272
0.00,0,0,6522
0.00,0,0,6772
0.00,0,0,7022
0.00,0,0,7272
0.00,0,0,7522
0.00,0,0,7772
0.00,0,0,8022
0.00,0,0,8272
0.00,0,0,8522
0.00,0,0,8771
0.00,0,0,9022
0.00,0,0,9272
0.00,0,0,9522
0.00,0,0,9772
0.00,0,0,10022
0.00,0,0,10272
0.00,0,0,10521
0.00,0,0,10772
0.00,0,0,11022
0.00,0,0,11272
0.00,0,0,11522
0.00,0,0,11772
0.00,0,0,12022
0.00,0,0,12272
0.00,0,0,12522
0.00,0,0,12772
0.00,0,0,13022
0.00,0,0,13272
0.00,0,0,13522
0.00,0,0,13772
0.00,0,0,14022
0.00,0,0,14272
0.00,0,0,14522
0.00,0,0,14772
0.00,0,0,15022
0.00,0,0,15271
0.00,0,0,15522
0.00,0,0,15772
0.00,0,0,16022
0.00,0,0,16272
0.00,0,0,16522
0.00,0,0,16772
0.00,0,0,17022
0.00,0,0,17272
0.00,0,0,17522
0.00,0,0,17772
0.00,0,0,18022
0.00,0,0,18272
0.00,0,0,18522
0.00,0,0,18772
0.00,0,0,19022
0.00,0,0,19272
0.00,0,0,19522
