Volts,Thr%,Ohms,Millis
0.00,0,0,21
0.00,0,0,271
0.00,0,0,521
0.00,0,0,771
0.00,0,0,1021
0.00,0,0,1271
0.00,0,0,1521
0.00,0,0,1771
0.00,0,0,2021
0.00,0,0,2271
0.00,0,0,2521
0.00,0,0,2771
0.00,0,0,3021
0.00,0,0,3271
0.00,0,0,3521
0.00,0,0,3771
0.00,0,0,4021
0.00,0,0,4271
0.00,0,0,4521
0.00,0,0,4771
0.00,0,0,5021
0.00,0,0,5271
0.00,0,0,5521
0.00,0,0,5771
0.00,0,0,6021
0.00,0,0,6270
0.00,0,0,6522
0.00,0,0,6772
0.00,0,0,7022
0.00,0,0,7272
0.00,0,0,7522
0.00,0,0,7772
0.00,50,50505,7858
0.00,50,50505,8108
0.00,50,50505,8358
0.00,50,50505,8608
0.00,50,50505,8858
0.00,50,50505,9108
0.00,50,50505,9358
0.00,50,50505,9608
0.00,50,50505,9858
0.00,50,50505,10108
0.00,50,50505,10358
0.00,50,50505,10608
0.00,50,50505,10858
0.00,50,50505,11108
0.00,50,50505,11358
0.00,50,50505,11608
0.00,50,50505,11858
0.00,50,50505,12108
0.00,50,50505,12358
0.00,50,50505,12608
0.00,0,0,12672
0.00,0,0,12922
0.00,0,0,13172
0.00,0,0,13422
0.00,0,0,13672
0.00,0,0,13922
0.00,0,0,14172
0.00,0,0,14422
0.00,0,0,14672
0.00,0,0,14922
0.00,0,0,15172
0.00,0,0,15422
0.00,0,0,15672
0.00,0,0,15922
0.00,0,0,16172
0.00,0,0,16422
0.00,0,0,16672
0.00,0,0,16922
0.00,0,0,17172
0.02,0,0,17422
0.00,0,0,17672
0.00,0,0,17922
0.01,0,0,18172
0.06,0,0,18422
0.05,0,0,18672
0.03,0,0,18922
0.02,0,0,19172
0.00,0,0,19422
0.00,0,0,19671
0.00,0,0,19922
0.00,0,0,20172
0.00,0,0,20422
0.00,0,0,20672
0.00,0,0,20922
0.00,50,50505,20935
0.00,50,50505,21185
0.00,50,50505,21434
0.00,50,50505,21685
0.00,50,50505,21935
0.00,50,50505,22185
0.00,50,50505,22435
0.00,50,50505,22685
0.00,50,50505,22935
0.00,50,50505,23185
0.00,50,50505,23435
0.01,50,50505,23685
0.00,50,50505,23936
0.00,50,50505,24186
0.00,50,50505,24436
0.00,50,50505,24686
0.00,50,50505,24936
0.00,50,50505,25186
0.00,50,50505,25436
0.00,50,50505,25686
0.00,50,50505,25936
0.00,50,50505,26185
0.00,50,50505,26436
0.00,50,50505,26686
0.00,50,50505,26936
0.00,50,50505,27186
0.00,50,50505,27436
0.00,50,50505,27686
0.00,50,50505,27936
0.00,50,50505,28186
0.00,50,50505,28436
0.00,50,50505,28686
0.00,50,50505,28936
0.00,50,50505,29186
0.00,50,50505,29436
0.13,50,50505,29686
0.00,50,50505,29936
0.00,50,50505,30186
0.00,50,50505,30436
0.00,50,50505,30686
0.00,50,50505,30935
0.00,50,50505,31186
0.00,50,50505,31436
0.00,50,50505,31686
0.00,50,50505,31936
0.00,50,50505,32186
0.02,50,50505,32436
0.00,50,50505,32686
0.00,50,50505,32936
0.00,50,50505,33186
0.00,50,50505,33436
0.00,50,50505,33686
0.00,50,50505,33936
0.00,50,50505,34186
0.00,50,50505,34436
0.00,50,50505,34686
0.01,50,50505,34936
0.04,50,50505,35186
0.03,50,50505,35436
0.01,50,50505,35685
0.01,50,50505,35936
0.00,50,50505,36186
0.00,50,50505,36436
0.00,50,50505,36686
0.00,50,50505,36936
0.00,50,50505,37186
0.00,50,50505,37436
0.00,50,50505,37686
0.00,50,50505,37936
0.00,50,50505,38187
0.00,50,50505,38437
0.00,50,50505,38687
0.00,50,50505,38937
0.02,50,50505,39187
0.00,50,50505,39437
0.00,50,50505,39687
0.00,50,50505,39937
0.00,50,50505,40187
0.00,50,50505,40437
0.00,50,50505,40686
0.00,50,50505,40937
0.00,50,50505,41187
0.00,50,50505,41437
0.00,50,50505,41687
0.00,50,50505,41937
0.00,50,50505,42187
0.00,50,50505,42437
0.00,50,50505,42687
0.00,50,50505,42937
0.00,50,50505,43187
0.00,50,50505,43437
0.00,50,50505,43687
0.00,50,50505,43937
0.00,50,50505,44187
0.00,50,50505,44437
0.00,50,50505,44687
0.00,50,50505,44937
0.00,50,50505,45187
0.00,50,50505,45437
0.00,50,50505,45687
0.00,50,50505,45936
0.00,50,50505,46187
0.00,50,50505,46437
0.00,50,50505,46686
0.00,50,50505,46937
0.00,50,50505,47186
0.00,50,50505,47437
0.00,50,50505,47687
0.00,50,50505,47937
0.00,50,50505,48187
0.00,50,50505,48437
0.00,50,50505,48687
0.00,50,50505,48936
0.00,50,50505,49187
0.00,50,50505,49437
0.00,50,50505,49687
0.00,50,50505,49937
0.00,50,50505,50187
0.00,50,50505,50437
0.00,50,50505,50688
0.00,50,50505,50938
0.00,50,50505,51188
0.00,50,50505,51437
0.00,50,50505,51688
0.00,50,50505,51937
0.00,50,50505,52187
0.00,50,50505,52438
0.00,50,50505,52688
0.00,50,50505,52938
0.00,50,50505,53188
0.00,50,50505,53438
0.00,50,50505,53688
0.00,50,50505,53938
0.00,50,50505,54188
0.00,50,50505,54438
0.00,50,50505,54688
0.00,50,50505,54938
0.00,50,50505,55188
0.00,50,50505,55438
0.00,50,50505,55688
0.00,50,50505,55938
0.00,50,50505,56188
0.00,50,50505,56438
0.00,50,50505,56688
0.00,50,50505,56937
0.00,50,50505,57188
0.00,50,50505,57438
0.00,50,50505,57688
0.00,50,50505,57938
0.00,50,50505,58188
0.00,50,50505,58438
0.00,50,50505,58688
0.00,50,50505,58938
0.00,50,50505,59188
0.00,50,50505,59437
0.00,50,50505,59688
0.00,50,50505,59937
0.00,50,50505,60188
0.00,50,50505,60438
0.00,50,50505,60688
0.00,50,50505,60938
0.00,50,50505,61188
0.00,50,50505,61438
0.00,50,50505,61688
0.00,50,50505,61938
0.00,50,50505,62188
0.00,50,50505,62438
0.00,50,50505,62687
0.00,50,50505,62937
0.00,50,50505,63188
0.00,50,50505,63438
0.00,50,50505,63688
0.00,50,50505,63938
0.00,50,50505,64188
0.00,50,50505,64438
0.00,50,50505,64688
0.00,50,50505,64939
0.00,50,50505,65189
0.00,50,50505,65439
0.00,50,50505,65689
0.00,50,50505,65939
0.00,50,50505,66189
0.00,50,50505,66439
0.00,50,50505,66689
0.00,50,50505,66939
0.00,50,50505,67189
0.00,50,50505,67439
0.00,50,50505,67689
0.00,50,50505,67939
0.00,50,50505,68189
0.00,50,50505,68439
0.00,50,50505,68689
0.00,50,50505,68939
0.00,50,50505,69189
0.00,50,50505,69439
0.00,50,50505,69689
0.00,50,50505,69939
0.00,50,50505,70189
0.00,50,50505,70439
0.00,50,50505,70689
0.00,50,50505,70939
0.00,50,50505,71189
0.00,50,50505,71438
0.00,50,50505,71689
0.00,50,50505,71939
0.00,50,50505,72189
0.00,50,50505,72439
0.00,50,50505,72689
0.00,50,50505,72939
0.00,50,50505,73189
0.00,50,50505,73439
0.00,50,50505,73689
0.00,50,50505,73939
0.00,50,50505,74189
0.00,50,50505,74439
0.00,50,50505,74689
0.00,50,50505,74939
0.00,50,50505,75189
0.00,50,50505,75439
0.00,50,50505,75689
0.00,50,50505,75939
0.00,50,50505,76189
0.00,50,50505,76439
0.00,50,50505,76689
0.00,50,50505,76939
0.00,50,50505,77189
0.00,50,50505,77440
0.00,50,50505,77690
0.00,50,50505,77940
0.00,50,50505,78190
0.00,50,50505,78440
0.00,50,50505,78690
0.00,50,50505,78940
0.00,50,50505,79190
0.00,50,50505,79440
0.00,50,50505,79690
0.00,50,50505,79940
0.00,50,50505,80189
0.00,50,50505,80440
0.00,50,50505,80690
0.00,50,50505,80940
0.00,50,50505,81190
0.00,50,50505,81440
0.00,50,50505,81690
0.00,50,50505,81940
0.00,50,50505,82190
0.00,50,50505,82440
0.00,50,50505,82690
0.00,50,50505,82940
0.00,50,50505,83190
0.00,50,50505,83440
0.00,50,50505,83690
0.00,50,50505,83940
0.00,50,50505,84190
0.00,50,50505,84440
0.00,50,50505,84690
0.00,50,50505,84940
0.00,50,50505,85190
0.00,50,50505,85440
0.00,50,50505,85690
0.00,50,50505,85940
0.00,50,50505,86190
0.00,50,50505,86440
0.00,50,50505,86690
0.00,50,50505,86940
0.00,50,50505,87190
0.00,50,50505,87440
0.00,50,50505,87690
0.00,50,50505,87940
0.00,50,50505,88190
0.00,50,50505,88440
0.00,50,50505,88690
0.00,50,50505,88940
0.00,50,50505,89190
0.00,50,50505,89440
0.00,50,50505,89690
0.00,50,50505,89940
0.00,50,50505,90190
